idx;start_s;end_s;duration_s;recognized;confidence;best_distance;second_distance;top_hypotheses
1;0.350;0.725;0.375;+;0.214179;0.213542;0.271744;+:0.21354 5:0.27174 7:0.28664 3:0.29640 0:0.30002
2;1.210;1.785;0.575;7;0.306519;0.209270;0.301768;7:0.20927 5:0.30177 +:0.33174 3:0.34451 0:0.35724
3;2.230;2.785;0.555;9;0.178626;0.282987;0.344529;9:0.28299 2:0.34453 8:0.35298 1:0.36652 0:0.36668
4;3.340;4.015;0.675;8;0.346315;0.258761;0.395850;8:0.25876 9:0.39585 2:0.40333 0:0.43509 1:0.43819
5;4.390;5.015;0.625;8;0.322850;0.253315;0.374090;8:0.25331 9:0.37409 2:0.40462 0:0.42271 1:0.42676
6;5.460;5.975;0.515;1;0.249951;0.266925;0.355877;1:0.26693 2:0.35588 0:0.35638 7:0.36391 3:0.36589
7;6.550;7.085;0.535;4;0.034511;0.393199;0.407254;4:0.39320 7:0.40725 9:0.41565 1:0.44680 2:0.44829
8;7.660;8.115;0.455;6;0.152836;0.387239;0.457100;6:0.38724 4:0.45710 7:0.46153 1:0.48381 9:0.48783
9;8.760;9.175;0.415;0;0.088906;0.286956;0.314957;0:0.28696 2:0.31496 9:0.35330 7:0.35820 5:0.37981
10;9.710;10.335;0.625;8;0.351923;0.265739;0.410043;8:0.26574 9:0.41004 2:0.43094 3:0.47505 0:0.47867
11;10.660;10.995;0.335;6;0.059993;0.410110;0.436284;6:0.41011 7:0.43628 5:0.46651 4:0.46865 1:0.49330
12;11.720;12.085;0.365;9;0.141564;0.283917;0.330737;9:0.28392 2:0.33074 7:0.33809 5:0.34251 0:0.34480
