index;symbol;unicode;name;mass_norm;xc_norm;yc_norm;ix_norm;iy_norm
1;𐒀;U+10480;OSMANYA LETTER ALEF;0.40246098;0.51635906;0.52188721;0.08549072;0.08298747
2;𐒁;U+10481;OSMANYA LETTER BA;0.46680391;0.46806515;0.49125489;0.07735934;0.07683451
3;𐒂;U+10482;OSMANYA LETTER TA;0.33291171;0.52958285;0.51916966;0.06618753;0.06393276
4;𐒃;U+10483;OSMANYA LETTER JA;0.55353535;0.52437435;0.50103874;0.08315592;0.04291312
5;𐒄;U+10484;OSMANYA LETTER XA;0.38992537;0.45611187;0.49430006;0.08818371;0.08006756
6;𐒅;U+10485;OSMANYA LETTER KHA;0.37203302;0.43716564;0.55392593;0.08415938;0.07708677
7;𐒆;U+10486;OSMANYA LETTER DEEL;0.36080122;0.49604862;0.50155757;0.09534967;0.10452235
8;𐒇;U+10487;OSMANYA LETTER RA;0.29143755;0.69152036;0.38742547;0.09704460;0.04608901
9;𐒈;U+10488;OSMANYA LETTER SA;0.40868673;0.48617254;0.54399550;0.08600163;0.06957643
10;𐒉;U+10489;OSMANYA LETTER SHIIN;0.40971272;0.51341522;0.45742905;0.08521652;0.06942104
11;𐒊;U+1048A;OSMANYA LETTER DHA;0.30147059;0.50322988;0.52681039;0.08693866;0.04506375
12;𐒋;U+1048B;OSMANYA LETTER CAYN;0.43769524;0.51929685;0.52204840;0.07958669;0.06332407
13;𐒌;U+1048C;OSMANYA LETTER GA;0.39598930;0.42575087;0.54184849;0.08259220;0.06883307
14;𐒍;U+1048D;OSMANYA LETTER FA;0.35303076;0.48268982;0.50309828;0.08458689;0.06688141
15;𐒎;U+1048E;OSMANYA LETTER QAAF;0.46496540;0.52678237;0.52256161;0.08848321;0.07344981
16;𐒏;U+1048F;OSMANYA LETTER KAAF;0.50168350;0.53271812;0.50060661;0.07793812;0.07985392
17;𐒐;U+10490;OSMANYA LETTER LAAN;0.36390828;0.46093529;0.53014721;0.08911730;0.08192357
18;𐒑;U+10491;OSMANYA LETTER MIIN;0.37313433;0.49266667;0.55666667;0.07683814;0.08123013
19;𐒒;U+10492;OSMANYA LETTER NUUN;0.38937166;0.48148518;0.53080520;0.09739120;0.06970739
20;𐒓;U+10493;OSMANYA LETTER WAW;0.33040278;0.46296583;0.53849760;0.07465848;0.07499169
21;𐒔;U+10494;OSMANYA LETTER HA;0.41596366;0.47089617;0.52121448;0.08361811;0.07823815
22;𐒕;U+10495;OSMANYA LETTER YA;0.41544118;0.41652791;0.51513551;0.09012451;0.06377661
23;𐒖;U+10496;OSMANYA LETTER A;0.35084034;0.56297162;0.52341585;0.10513839;0.05963543
24;𐒗;U+10497;OSMANYA LETTER E;0.39576312;0.38556367;0.60088107;0.07938761;0.07524074
25;𐒘;U+10498;OSMANYA LETTER I;0.43421053;0.52717156;0.43085375;0.07120588;0.07797245
26;𐒙;U+10499;OSMANYA LETTER O;0.29411765;0.49238065;0.56952196;0.08045791;0.06517547
27;𐒚;U+1049A;OSMANYA LETTER U;0.37704335;0.60357233;0.53445863;0.08311430;0.08359503
28;𐒛;U+1049B;OSMANYA LETTER AA;0.37350746;0.49837342;0.44393485;0.07605629;0.08120269
29;𐒜;U+1049C;OSMANYA LETTER EE;0.39063304;0.44296512;0.59476185;0.08572820;0.08527317
30;𐒝;U+1049D;OSMANYA LETTER OO;0.29857898;0.48292625;0.59129918;0.06910877;0.07097395
