rank;time_s;freq_from_hz;freq_to_hz;energy
1;4.100;150;200;2.60850171e+04
2;4.000;150;200;2.05022769e+04
3;14.100;100;150;1.25375186e+04
4;5.000;350;400;1.11520154e+04
5;4.200;150;200;1.10120404e+04
6;14.200;100;150;1.08867335e+04
7;14.100;300;350;8.40304725e+03
8;14.300;100;150;7.91844096e+03
9;13.100;300;350;6.55548885e+03
10;14.200;300;350;6.50218926e+03
11;14.300;150;200;6.07310317e+03
12;5.100;350;400;5.71420584e+03
13;14.000;300;350;5.65880216e+03
14;4.300;150;200;5.56575334e+03
15;14.100;50;100;5.49415305e+03
16;5.000;400;450;5.22961101e+03
17;14.000;100;150;5.16169114e+03
18;14.400;150;200;4.84358815e+03
19;13.200;300;350;4.68168408e+03
20;14.400;100;150;4.15196008e+03
21;14.000;50;100;4.11819694e+03
22;14.200;50;100;4.11004066e+03
23;13.000;300;350;4.09027580e+03
24;14.300;300;350;4.07880579e+03
25;12.600;150;200;4.00610069e+03
26;12.500;150;200;3.80915573e+03
27;12.300;100;150;3.55873476e+03
28;5.200;350;400;3.33660215e+03
29;9.000;250;300;3.33310916e+03
30;14.300;50;100;3.26840041e+03
31;4.400;150;200;3.12289641e+03
32;14.100;400;450;3.06040360e+03
33;8.100;50;100;2.93941551e+03
34;9.000;300;350;2.93465746e+03
35;9.100;300;350;2.77582697e+03
36;5.100;400;450;2.71454521e+03
37;14.200;400;450;2.68941406e+03
38;8.200;100;150;2.67713580e+03
39;12.200;100;150;2.67418041e+03
40;8.500;150;200;2.66930138e+03
41;4.800;300;350;2.61562270e+03
42;12.400;100;150;2.58129450e+03
43;14.400;300;350;2.56084769e+03
44;13.300;300;350;2.33086575e+03
45;15.000;100;150;2.31773529e+03
46;8.300;400;450;2.30032629e+03
47;8.600;150;200;2.24380333e+03
48;14.500;150;200;2.22521984e+03
49;12.700;150;200;2.17154420e+03
50;13.100;250;300;2.11642572e+03
51;14.500;100;150;2.08531401e+03
52;14.500;300;350;2.02860449e+03
53;4.900;300;350;2.02430106e+03
54;8.400;400;450;2.01714193e+03
55;14.300;400;450;1.95388816e+03
56;12.300;150;200;1.86413494e+03
57;13.000;250;300;1.81298083e+03
58;5.300;350;400;1.78137223e+03
59;14.400;50;100;1.70476383e+03
60;4.500;150;200;1.67975639e+03
61;1.000;350;400;1.67689666e+03
62;9.100;250;300;1.66472765e+03
63;12.200;150;200;1.66048073e+03
64;8.200;150;200;1.65095549e+03
65;5.000;300;350;1.62142753e+03
66;12.500;100;150;1.58879111e+03
67;14.500;400;450;1.57922066e+03
68;9.200;300;350;1.55315493e+03
69;8.000;50;100;1.54121605e+03
70;4.700;300;350;1.50756989e+03
71;4.000;300;350;1.50253476e+03
72;14.700;100;150;1.49121636e+03
73;14.600;100;150;1.47679928e+03
74;15.100;100;150;1.46679224e+03
75;4.000;700;750;1.45683633e+03
76;4.100;650;700;1.41924919e+03
77;4.000;50;100;1.40501119e+03
78;14.600;300;350;1.40161327e+03
79;14.400;400;450;1.39852875e+03
80;5.000;1550;1600;1.39760873e+03
81;12.100;50;100;1.35117644e+03
82;14.800;100;150;1.33793018e+03
