index;symbol;unicode;name;width;height;mass;M1;M2;M3;M4;w1;w2;w3;w4;xc;yc;xc_norm;yc_norm;Ix;Iy;Ix_norm;Iy_norm
1;𐒀;U+10480;OSMANYA LETTER ALEF;52;73;1450;299;393;398;360;0.319444;0.419872;0.413721;0.374220;26.555172;37.684138;0.520690;0.523391;623133.335172;305456.086207;0.080643;0.077907
2;𐒁;U+10481;OSMANYA LETTER BA;63;72;1970;567;469;468;466;0.508065;0.407118;0.419355;0.404514;29.165482;34.792893;0.470411;0.490041;750893.500508;552882.052792;0.073527;0.070711
3;𐒂;U+10482;OSMANYA LETTER TA;64;72;1424;393;323;118;590;0.341146;0.280382;0.102431;0.512153;33.250702;36.922753;0.527789;0.520039;462381.502809;349331.499298;0.062636;0.059892
4;𐒃;U+10483;OSMANYA LETTER JA;17;71;595;70;224;196;105;0.250000;0.711111;0.680556;0.324074;7.961345;34.952941;0.497584;0.499328;234764.682353;6204.110924;0.078271;0.036080
5;𐒄;U+10484;OSMANYA LETTER XA;69;72;1824;551;378;294;601;0.450163;0.300000;0.240196;0.476984;31.524671;35.080044;0.463598;0.494085;788806.313596;655980.889803;0.083422;0.075538
6;𐒅;U+10485;OSMANYA LETTER KHA;61;73;1570;486;157;350;577;0.450000;0.140681;0.315315;0.503051;26.363694;39.875796;0.439395;0.553831;669928.780255;427337.330573;0.080072;0.073150
7;𐒆;U+10486;OSMANYA LETTER DEEL;62;73;1551;362;398;415;376;0.324373;0.356631;0.361813;0.327812;30.465506;36.185042;0.499435;0.502570;749039.892972;588411.904578;0.090625;0.098693
8;𐒇;U+10487;OSMANYA LETTER RA;41;71;799;136;362;0;301;0.194286;0.492517;0.000000;0.398148;27.610763;27.315394;0.690269;0.390220;369686.520651;60203.947434;0.091785;0.044824
9;𐒈;U+10488;OSMANYA LETTER SA;47;73;1299;325;230;368;376;0.392512;0.266204;0.432432;0.423423;22.309469;39.115473;0.484988;0.543270;561446.678984;182965.593533;0.081106;0.063762
10;𐒉;U+10489;OSMANYA LETTER SHIIN;47;73;1305;355;367;215;368;0.428744;0.424769;0.252644;0.414414;23.698084;33.032950;0.515176;0.458791;558967.583142;183377.045211;0.080377;0.063612
11;𐒊;U+1048A;OSMANYA LETTER DHA;59;73;1226;437;61;320;408;0.418582;0.056481;0.298229;0.367568;28.431485;37.853181;0.490198;0.525739;543337.572594;184776.744698;0.083164;0.043297
12;𐒋;U+1048B;OSMANYA LETTER CAYN;47;72;1382;291;372;362;357;0.351449;0.430556;0.437198;0.413194;23.867583;36.811143;0.518861;0.518467;543133.708394;177022.767728;0.075811;0.057986
13;𐒌;U+1048C;OSMANYA LETTER GA;59;73;1589;580;92;379;538;0.555556;0.085185;0.353215;0.484685;24.689113;38.835746;0.425674;0.539385;665616.129641;358120.421649;0.078606;0.064744
14;𐒍;U+1048D;OSMANYA LETTER FA;53;72;1264;437;228;160;439;0.466880;0.234568;0.170940;0.451646;25.352848;35.715190;0.487555;0.503031;526909.468354;223244.629747;0.080413;0.062876
15;𐒎;U+1048E;OSMANYA LETTER QAAF;73;73;2354;432;625;677;620;0.333333;0.469219;0.508258;0.452885;38.000850;37.458369;0.527790;0.520255;1057528.420136;873469.998301;0.084302;0.069630
16;𐒏;U+1048F;OSMANYA LETTER KAAF;40;71;1300;298;357;298;347;0.425714;0.510000;0.413889;0.481944;20.450769;34.966923;0.524379;0.499527;483985.577692;148643.849231;0.073854;0.071463
17;𐒐;U+10490;OSMANYA LETTER LAAN;64;73;1575;383;309;298;585;0.332465;0.268229;0.251689;0.494088;29.273016;37.962540;0.464651;0.527257;708596.789841;479676.603175;0.084425;0.074355
18;𐒑;U+10491;OSMANYA LETTER MIIN;43;71;1082;353;158;222;349;0.480272;0.205195;0.293651;0.440657;20.645102;39.019409;0.491550;0.557420;395834.592421;153715.719039;0.072572;0.076834
19;𐒒;U+10492;OSMANYA LETTER NUUN;47;73;1260;204;325;417;314;0.246377;0.376157;0.490012;0.353604;22.315873;38.249206;0.485128;0.531239;621243.749206;179828.282540;0.092522;0.064609
20;𐒓;U+10493;OSMANYA LETTER WAW;78;72;1743;719;119;290;615;0.512108;0.084758;0.206553;0.438034;35.706827;38.184165;0.463725;0.537805;638709.882960;751755.188755;0.070687;0.070891
21;𐒔;U+10494;OSMANYA LETTER HA;49;72;1404;363;361;373;307;0.420139;0.401111;0.431713;0.341111;23.028490;37.039886;0.479760;0.521689;574749.766382;247210.860399;0.078967;0.073334
22;𐒕;U+10495;OSMANYA LETTER YA;48;73;1352;454;203;396;299;0.525463;0.234954;0.445946;0.336712;19.798077;37.095414;0.421236;0.515214;618856.691568;179359.875000;0.085895;0.057579
23;𐒖;U+10496;OSMANYA LETTER A;45;73;1086;292;215;173;406;0.368687;0.259662;0.212531;0.477086;24.430018;37.721915;0.555228;0.523915;573902.018416;121256.181400;0.099166;0.055138
24;𐒗;U+10497;OSMANYA LETTER E;34;72;898;300;0;334;264;0.490196;0.000000;0.545752;0.431373;13.099109;42.471047;0.396943;0.598184;349489.747216;70606.179287;0.075075;0.068016
25;𐒘;U+10498;OSMANYA LETTER I;41;74;1229;352;382;183;312;0.475676;0.491634;0.247297;0.401544;21.179007;31.390561;0.529475;0.430008;452682.530513;148758.618389;0.067263;0.072005
26;𐒙;U+10499;OSMANYA LETTER O;74;73;1500;488;102;308;602;0.366366;0.076577;0.224982;0.439737;35.918000;40.831333;0.492027;0.567102;611572.327333;501044.914000;0.076509;0.060999
27;𐒚;U+1049A;OSMANYA LETTER U;45;71;1137;36;380;328;393;0.046753;0.472050;0.414141;0.474638;26.643799;37.202287;0.605541;0.531461;456131.474055;179624.738786;0.079582;0.078015
28;𐒛;U+1049B;OSMANYA LETTER AA;43;72;1089;339;231;151;368;0.448413;0.291667;0.199735;0.464646;21.456382;31.299357;0.510866;0.440836;407394.409550;154046.178145;0.072164;0.076504
29;𐒜;U+1049C;OSMANYA LETTER EE;63;72;1666;304;303;472;587;0.272401;0.263021;0.422939;0.509549;27.471188;41.967587;0.443084;0.591093;706630.249700;524861.117047;0.081819;0.079376
30;𐒝;U+1049D;OSMANYA LETTER OO;95;73;1945;545;140;594;666;0.322104;0.081019;0.341576;0.375000;45.206170;42.404113;0.480917;0.588946;684276.367095;1186100.325964;0.066019;0.067570
